resource_id,fte_assigned,billable_hours,bench_time,overallocated
1,453.75,11,258.67,1
2,47.84,35,33.79,0
3,143.56,23,414.44,1
4,314.71,41,458.65,1
5,467.67,26,87.46,1
6,51.62,28,494.99,1
7,318.32,41,318.34,1
8,390.03,56,346.27,1
9,260.61,23,61.16,0
10,376.77,2,72.95,0
11,441.44,29,215.48,1
12,254.58,14,384.27,1
13,399.5,56,222.14,1
14,37.03,55,467.55,1
15,367.88,40,14.96,0
16,388.72,17,470.26,1
17,42.57,16,33.77,0
18,61.48,9,94.87,0
19,201.15,8,397.26,1
20,169.78,12,208.57,0
21,133.33,9,410.99,1
22,423.03,28,328.6,1
23,13.47,3,148.57,0
24,98.74,58,497.97,1
25,322.76,3,282.02,1
26,244.59,52,411.63,1
27,255.56,28,79.7,0
28,343.66,16,265.86,1
29,37.21,4,306.54,0
30,369.58,46,246.26,1
31,330.12,14,430.25,1
32,451.0,6,88.35,0
33,314.76,54,494.45,1
34,495.88,34,61.56,1
35,253.66,56,243.59,1
36,363.08,49,148.91,1
37,31.12,14,467.18,0
38,137.11,12,44.85,0
39,94.78,14,252.56,0
40,277.15,30,28.16,0
41,229.61,57,106.04,0
42,104.47,14,361.36,0
43,237.19,57,428.9,1
44,74.65,21,148.12,0
45,231.11,37,106.92,0
46,478.81,49,363.19,1
47,260.35,38,460.06,1
48,230.2,22,471.38,1
49,247.19,25,444.66,1
50,131.24,22,238.85,0
51,292.54,15,143.66,0
52,87.5,1,459.62,0
53,58.92,8,343.61,0
54,250.64,45,196.18,0
55,75.39,14,415.91,0
56,342.07,51,395.41,1
57,311.77,33,121.68,0
58,238.24,20,299.68,1
59,108.7,2,182.13,0
60,206.73,8,213.87,0
61,472.69,23,466.75,1
62,346.73,33,418.85,1
63,407.21,33,127.03,1
64,84.06,48,209.91,0
65,485.0,56,32.62,1
66,187.4,11,425.15,1
67,193.95,47,497.16,1
68,195.44,13,441.83,1
69,58.75,37,59.87,0
70,374.66,29,381.53,1
71,141.26,51,262.72,0
72,251.3,51,200.99,0
73,466.14,25,478.87,1
74,312.93,53,302.4,1
75,452.01,35,481.54,1
76,108.77,33,421.79,1
77,217.31,34,195.23,0
78,341.22,4,153.27,0
79,171.29,7,357.38,0
80,266.18,12,38.72,0
81,52.85,54,316.06,0
82,313.0,52,67.02,0
83,232.11,12,458.74,1
84,452.71,58,362.88,1
85,204.26,51,56.54,0
86,268.05,27,21.29,0
87,316.09,27,130.95,0
88,349.19,54,304.75,1
89,173.23,56,110.55,0
90,305.04,14,253.19,1
91,149.41,34,190.34,0
92,19.76,47,283.98,0
93,463.18,51,402.35,1
94,391.92,51,105.62,0
95,173.75,33,145.95,0
96,17.04,33,51.03,0
97,265.79,33,425.94,1
98,228.13,4,449.56,1
99,293.3,3,174.17,0
100,183.19,52,146.66,0
101,373.13,51,198.05,1
102,341.89,13,349.5,1
103,262.75,22,288.6,1
104,105.66,25,43.95,0
105,31.64,34,439.11,0
106,191.99,32,201.94,0
107,435.02,10,24.46,0
108,206.82,39,135.81,0
109,164.36,50,348.51,1
110,219.4,52,77.74,0
111,296.46,29,275.18,1
112,127.26,54,485.52,1
113,375.74,4,243.05,1
114,17.97,19,204.84,0
115,440.56,3,305.52,1
116,37.99,15,260.96,0
117,72.18,19,91.94,0
118,229.18,43,312.94,1
119,274.28,22,293.66,1
120,241.14,31,387.47,1
121,239.26,31,384.65,1
122,97.73,56,449.13,1
123,120.08,33,367.82,0
124,297.15,17,105.44,0
125,258.72,9,348.08,1
126,349.65,20,486.28,1
127,168.72,45,349.79,1
128,102.47,52,130.56,0
129,360.35,12,101.6,0
130,86.05,25,393.5,0
131,379.06,28,495.28,1
132,325.71,35,412.44,1
133,388.21,49,211.29,1
134,389.07,27,120.68,0
135,208.99,55,282.16,0
136,136.47,19,117.5,0
137,214.02,54,448.97,1
138,77.38,9,374.35,0
139,56.07,5,193.65,0
140,290.66,8,402.78,1
141,87.81,40,296.33,0
142,96.4,51,29.16,0
143,116.46,16,433.27,1
144,187.8,35,206.28,0
145,489.41,6,80.74,1
146,341.52,3,96.94,0
147,125.6,57,413.37,1
148,18.03,32,441.28,0
149,371.69,49,120.77,0
150,48.25,46,248.03,0
151,481.65,11,229.49,1
152,362.09,16,135.33,0
153,125.62,48,93.65,0
154,24.97,7,202.39,0
155,382.39,30,407.05,1
156,151.94,18,406.32,1
157,337.68,12,449.31,1
158,399.56,3,451.37,1
159,396.14,44,384.78,1
160,61.76,49,163.71,0
161,277.09,50,68.27,0
162,70.53,5,326.41,0
163,116.46,27,277.78,0
164,241.93,59,188.7,0
165,497.53,21,369.35,1
166,183.27,30,273.19,0
167,349.42,19,34.65,0
168,474.62,47,360.31,1
169,114.47,46,141.61,0
170,43.16,50,79.69,0
171,367.4,22,109.22,0
172,302.21,40,485.93,1
173,65.04,39,91.7,0
174,161.58,44,291.5,0
175,93.04,6,441.89,0
176,152.46,1,163.81,0
177,94.19,41,78.26,0
178,183.56,4,193.36,0
179,286.74,34,84.04,0
180,307.67,29,434.22,1
181,214.2,55,406.95,1
182,264.58,12,112.41,0
183,34.51,7,36.35,0
184,249.5,57,30.87,0
185,146.47,14,332.65,0
186,232.56,26,469.38,1
187,314.84,29,242.77,1
188,334.05,52,82.77,0
189,430.34,30,406.53,1
190,331.98,52,133.87,0
191,139.55,36,448.64,1
192,200.79,10,54.28,0
193,370.83,43,12.39,0
194,325.33,33,105.25,0
195,440.03,23,467.69,1
196,308.27,40,447.33,1
197,477.84,30,50.45,1
198,99.52,20,19.14,0
199,51.65,38,76.98,0
200,196.03,21,389.23,1
201,62.91,50,338.35,0
202,30.55,13,206.78,0
203,27.29,30,228.95,0
204,88.35,48,71.46,0
205,328.03,7,238.31,1
206,15.72,1,157.92,0
207,466.7,56,230.16,1
208,243.06,27,30.53,0
209,164.83,8,52.0,0
210,243.34,50,414.06,1
211,119.78,46,155.98,0
212,454.81,59,414.52,1
213,32.8,6,133.9,0
214,193.19,38,460.28,1
215,145.99,20,192.66,0
216,29.23,1,257.59,0
217,173.84,11,174.07,0
218,250.64,36,489.03,1
219,152.64,7,487.2,1
220,439.57,47,41.04,0
221,423.75,8,108.13,0
222,46.97,41,57.79,0
223,208.45,50,111.15,0
224,492.56,34,254.11,1
225,96.04,28,339.12,0
226,107.82,56,332.16,0
227,297.35,57,26.09,0
228,11.49,32,33.29,0
229,259.14,44,226.14,0
230,135.0,52,208.8,0
231,357.3,6,465.08,1
232,176.29,16,127.07,0
233,376.94,46,461.06,1
234,126.54,23,71.34,0
235,351.56,40,328.61,1
236,44.63,15,287.43,0
237,270.62,37,464.2,1
238,83.29,8,449.8,0
239,119.02,47,104.14,0
240,296.54,17,415.14,1
241,381.76,23,83.5,0
242,69.35,58,242.13,0
243,254.82,18,19.97,0
244,467.48,56,147.02,1
245,277.73,31,77.63,0
246,351.8,45,396.5,1
247,498.17,38,343.22,1
248,102.68,56,246.46,0
249,129.65,7,54.65,0
250,172.34,46,447.84,1
251,471.96,1,259.6,1
252,180.08,58,267.39,0
253,148.49,8,206.96,0
254,402.17,12,390.97,1
255,181.54,11,270.28,0
256,174.11,53,298.29,0
257,385.65,20,347.19,1
258,455.35,18,210.25,1
259,194.83,7,166.04,0
260,259.88,48,186.43,0
261,244.32,21,215.6,0
262,205.83,34,106.48,0
263,142.36,25,140.02,0
264,77.94,14,338.82,0
265,307.87,24,464.93,1
266,75.01,35,392.03,0
267,421.86,38,176.18,1
268,344.56,50,350.22,1
269,199.02,51,425.97,1
270,350.07,42,324.34,1
271,425.2,7,107.75,0
272,125.22,44,282.98,0
273,413.88,30,489.89,1
274,291.06,24,181.31,0
275,161.08,54,96.07,0
276,140.52,45,482.21,1
277,448.56,52,213.02,1
278,206.41,35,54.91,0
279,446.78,53,231.67,1
280,91.75,50,184.91,0
281,362.4,50,86.91,0
282,399.26,24,370.14,1
283,52.5,53,241.25,0
284,221.44,8,247.71,0
285,32.25,3,253.43,0
286,113.39,44,157.77,0
287,157.16,15,27.87,0
288,268.37,40,138.34,0
289,154.15,9,39.91,0
290,139.8,37,89.66,0
291,292.46,48,111.0,0
292,323.67,18,271.61,1
293,322.3,40,411.0,1
294,456.07,52,155.42,1
295,268.89,47,366.32,1
