Month,Region,ProductCategory,MarketingSpend,Sales,Profit,CustomerSatisfaction
2021-06,North,Electronics,37148,88641,2293,64.5
2021-01,South,Furniture,56440,66702,-30069,64.76
2021-04,North,Food,37647,41161,-21781,61.24
2021-12,North,Electronics,30803,93749,7705,64.05
2021-04,East,Clothing,52929,61399,-29413,57.56
2021-08,North,Electronics,38198,90493,-2867,81.0
2021-10,North,Electronics,38275,91041,-1227,66.02
2021-04,South,Furniture,57332,75597,-28599,68.88
2021-06,West,Furniture,68952,66531,-38416,64.05
2021-03,South,Furniture,36834,57770,-13904,75.28
2021-05,South,Furniture,63562,69315,-34618,72.41
2021-08,South,Electronics,56248,82134,-24716,58.72
2021-07,South,Clothing,43586,48952,-21741,67.84
2021-09,West,Food,50738,32751,-38710,63.12
2021-09,South,Clothing,74513,52832,-50986,60.94
2021-11,East,Clothing,51646,48334,-31728,68.99
2021-02,North,Furniture,49308,81004,-14983,66.41
2021-07,East,Electronics,42534,93124,-5439,73.15
2021-08,North,Electronics,57721,96605,-23580,60.77
2021-08,West,Electronics,64875,91582,-28558,62.33
2021-09,West,Food,83809,51653,-63358,64.73
2021-02,South,Clothing,67480,47797,-47035,61.0
2021-06,West,Food,52584,44191,-36219,58.63
2021-10,North,Food,63647,42958,-49283,66.79
2021-09,West,Clothing,75542,48701,-59784,61.99
2021-10,East,Food,40160,36653,-33582,56.83
2021-05,North,Furniture,53155,70093,-26934,67.88
2021-04,West,Clothing,49047,51264,-28300,74.59
2021-01,West,Clothing,33725,37845,-22889,69.49
2021-04,West,Clothing,50442,41375,-31528,70.34
2021-06,North,Clothing,29776,57878,-8517,61.28
2021-01,South,Electronics,59424,79163,-25655,64.38
2021-03,West,Food,71674,48377,-57025,73.52
2021-04,West,Food,64640,38643,-50385,60.39
2021-09,East,Food,49145,49762,-27602,62.63
2021-02,South,Clothing,35414,39610,-19783,66.82
2021-04,West,Food,27139,35375,-16995,68.04
2021-04,West,Food,57942,43094,-35556,74.5
2021-04,South,Clothing,58119,49847,-38711,69.8
2021-08,South,Food,32389,36796,-18123,62.41
2021-01,North,Clothing,39686,43865,-26500,62.24
2021-02,North,Clothing,69087,62695,-43049,71.16
2021-10,West,Clothing,60303,44360,-40357,69.32
2021-10,East,Clothing,74632,55614,-53755,64.83
2021-01,North,Furniture,41843,78979,-15412,69.0
2021-11,North,Food,58533,41228,-48967,70.17
2021-05,West,Food,40150,40930,-23603,62.72
